file,set_id,spl_version,title,ingredient_rx_cui,ingredient_name,pt_meddra_id,pt_meddra_term,qt_present
../data/2024_latest_labels/latest_labels_ingredients/20240224_9c9d9f5c-bfd1-4e2a-be4a-697344ca6833.json,9c9d9f5c-bfd1-4e2a-be4a-697344ca6833,11,"These highlights do not include all the information needed to use citalopram tablets safely and effectively. See full prescribing information for citalopram tablets.
 


CITALOPRAM (Citalopram) tablets, for oral use
 


Initial U.S. Approval: 1998",2556,citalopram,10044066,torsade de pointes,1
../data/2024_latest_labels/latest_labels_ingredients/20240214_f34c08e6-fe74-4de3-9e36-a82c3c1c183b.json,f34c08e6-fe74-4de3-9e36-a82c3c1c183b,9,"These highlights do not include all the information needed to use MOXIFLOXACIN TABLETS safely and effectively. See full prescribing information for MOXIFLOXACIN TABLETS.
 MOXIFLOXACIN tablets, for oral use Initial U.S. Approval: 1999",139462,moxifloxacin,10014387,electrocardiogram qt prolonged,1
../data/2024_latest_labels/latest_labels_ingredients/20240113_53486382-eee0-4cbe-bc4a-a57484e0d5a7.json,53486382-eee0-4cbe-bc4a-a57484e0d5a7,104,"These highlights do not include all the information needed to use CILOSTAZOL TABLETS safely and effectively. See full prescribing information for CILOSTAZOL TABLETS.CILOSTAZOL tablets, for oral useInitial U.S. Approval: 1999",21107,cilostazol,10044066,torsade de pointes,1
../data/2024_latest_labels/latest_labels_ingredients/20240224_0be243c6-de02-45dd-8210-cab1bbc8dfa7.json,0be243c6-de02-45dd-8210-cab1bbc8dfa7,28,"These highlights do not include all the information needed to use CLARITHROMYCIN TABLETS safely and effectively. See full prescribing information for CLARITHROMYCIN TABLETS.
 

CLARITHROMYCIN tablets, for oral use
 
Initial U.S. Approval: 1991",21212,clarithromycin,10014387,electrocardiogram qt prolonged,1
../data/2024_latest_labels/latest_labels_ingredients/20240224_5198b1c8-8dd6-4b8f-bd85-294ac468af53.json,5198b1c8-8dd6-4b8f-bd85-294ac468af53,10,"These highlights do not include all the information needed to use FLUVOXAMINE MALEATE TABLETS safely and effectively. See full prescribing information for FLUVOXAMINE MALEATE TABLETS.
 

FLUVOXAMINE MALEATE tablets, for oral use
 
Initial U.S. Approval: 1994",42355,fluvoxamine,10014387,electrocardiogram qt prolonged,
../data/2024_latest_labels/latest_labels_ingredients/20240207_8849c8f9-ee41-4ccd-8a62-67b04e80a276.json,8849c8f9-ee41-4ccd-8a62-67b04e80a276,1,"These highlights do not include all the information needed to use ARSENIC TRIOXIDE INJECTION safely and effectively. See full prescribing information for ARSENIC TRIOXIDE INJECTION. ARSENIC TRIOXIDE injection, for intravenous use Initial U.S. Approval: 2000",18330,arsenic trioxide,10044066,torsade de pointes,1
../data/2024_latest_labels/latest_labels_ingredients/20230526_e5721cb8-4185-47b9-bbb3-1c587e558a03.json,e5721cb8-4185-47b9-bbb3-1c587e558a03,8,"These highlights do not include all the information needed to use CAPRELSA safely and effectively. See full prescribing information for CAPRELSA.CAPRELSA® (vandetanib) tablets, for oral useInitial U.S. Approval: 2011",1098413,vandetanib,10014387,electrocardiogram qt prolonged,1
../data/2024_latest_labels/latest_labels_ingredients/20230321_147e033d-d997-4ef6-8bb5-a9ba372590b2.json,147e033d-d997-4ef6-8bb5-a9ba372590b2,8,"DROPERIDOL INJECTION, USP",3648,droperidol,10024803,long qt syndrome,1
../data/2024_latest_labels/latest_labels_ingredients/20240224_5198b1c8-8dd6-4b8f-bd85-294ac468af53.json,5198b1c8-8dd6-4b8f-bd85-294ac468af53,10,"These highlights do not include all the information needed to use FLUVOXAMINE MALEATE TABLETS safely and effectively. See full prescribing information for FLUVOXAMINE MALEATE TABLETS.
 

FLUVOXAMINE MALEATE tablets, for oral use
 
Initial U.S. Approval: 1994",42355,fluvoxamine,10044066,torsade de pointes,
../data/2024_latest_labels/latest_labels_ingredients/20240217_793062e5-5a0c-40f9-8d8b-ca0862cd8a37.json,793062e5-5a0c-40f9-8d8b-ca0862cd8a37,11,"These highlights do not include all the information needed to use ARIPIPRAZOLE TABLETS safely and effectively. See full prescribing information for ARIPIPRAZOLE TABLETS.
 



ARIPIPRAZOLE tablets, for oral use
 

Initial U.S. Approval: 2002",89013,aripiprazole,10014387,electrocardiogram qt prolonged,
