,cohort_id,condition_name,drug_concept_id,drug_name,concept_name,meddra_pt,affect,gpt_output
0,500000401,acute kidney injury,1703687.0,acyclovir,postrenal failure,10059345,1.0,False.
1,500000401,acute kidney injury,1703687.0,acyclovir,hepatorenal syndrome,10019846,1.0,False.
2,500000401,acute kidney injury,1703687.0,acyclovir,hepatorenal failure,10019845,1.0,False.
3,500000401,acute kidney injury,1703687.0,acyclovir,crush syndrome,10050702,1.0,False.
4,500000401,acute kidney injury,1167322.0,allopurinol,postrenal failure,10059345,1.0,False.
5,500000401,acute kidney injury,1167322.0,allopurinol,hepatorenal syndrome,10019846,1.0,False.
6,500000401,acute kidney injury,1167322.0,allopurinol,hepatorenal failure,10019845,1.0,True.
7,500000401,acute kidney injury,1167322.0,allopurinol,crush syndrome,10050702,1.0,False.
8,500000401,acute kidney injury,19026710.0,capreomycin,postrenal failure,10059345,1.0,True
9,500000401,acute kidney injury,19026710.0,capreomycin,hepatorenal syndrome,10019846,1.0,False.
10,500000401,acute kidney injury,19026710.0,capreomycin,hepatorenal failure,10019845,1.0,True
11,500000401,acute kidney injury,19026710.0,capreomycin,crush syndrome,10050702,1.0,False.
12,500000401,acute kidney injury,1340128.0,captopril,postrenal failure,10059345,1.0,False.
13,500000401,acute kidney injury,1340128.0,captopril,hepatorenal syndrome,10019846,1.0,False.
14,500000401,acute kidney injury,1340128.0,captopril,hepatorenal failure,10019845,1.0,True
15,500000401,acute kidney injury,1340128.0,captopril,crush syndrome,10050702,1.0,False.
16,500000401,acute kidney injury,992590.0,chlorothiazide,postrenal failure,10059345,1.0,False.
17,500000401,acute kidney injury,992590.0,chlorothiazide,hepatorenal syndrome,10019846,1.0,False.
18,500000401,acute kidney injury,992590.0,chlorothiazide,hepatorenal failure,10019845,1.0,False.
19,500000401,acute kidney injury,992590.0,chlorothiazide,crush syndrome,10050702,1.0,False.
20,500000401,acute kidney injury,19010482.0,cyclosporine,postrenal failure,10059345,1.0,True
21,500000401,acute kidney injury,19010482.0,cyclosporine,hepatorenal syndrome,10019846,1.0,True
22,500000401,acute kidney injury,19010482.0,cyclosporine,hepatorenal failure,10019845,1.0,True
23,500000401,acute kidney injury,19010482.0,cyclosporine,crush syndrome,10050702,1.0,False.
24,500000401,acute kidney injury,1126128.0,diflunisal,postrenal failure,10059345,1.0,False.
25,500000401,acute kidney injury,1126128.0,diflunisal,hepatorenal syndrome,10019846,1.0,False.
26,500000401,acute kidney injury,1126128.0,diflunisal,hepatorenal failure,10019845,1.0,False.
27,500000401,acute kidney injury,1126128.0,diflunisal,crush syndrome,10050702,1.0,False.
28,500000401,acute kidney injury,1342001.0,enalaprilat,postrenal failure,10059345,1.0,False.
29,500000401,acute kidney injury,1342001.0,enalaprilat,hepatorenal syndrome,10019846,1.0,False.
30,500000401,acute kidney injury,1342001.0,enalaprilat,hepatorenal failure,10019845,1.0,True
31,500000401,acute kidney injury,1342001.0,enalaprilat,crush syndrome,10050702,1.0,False.
32,500000401,acute kidney injury,1195492.0,etodolac,postrenal failure,10059345,1.0,False.
33,500000401,acute kidney injury,1195492.0,etodolac,hepatorenal syndrome,10019846,1.0,False.
34,500000401,acute kidney injury,1195492.0,etodolac,hepatorenal failure,10019845,1.0,False.
35,500000401,acute kidney injury,1195492.0,etodolac,crush syndrome,10050702,1.0,False.
36,500000401,acute kidney injury,1153928.0,fenoprofen,postrenal failure,10059345,1.0,False.
37,500000401,acute kidney injury,1153928.0,fenoprofen,hepatorenal syndrome,10019846,1.0,False.
38,500000401,acute kidney injury,1153928.0,fenoprofen,hepatorenal failure,10019845,1.0,True
39,500000401,acute kidney injury,1153928.0,fenoprofen,crush syndrome,10050702,1.0,False.
40,500000401,acute kidney injury,974166.0,hydrochlorothiazide,postrenal failure,10059345,1.0,False.
41,500000401,acute kidney injury,974166.0,hydrochlorothiazide,hepatorenal syndrome,10019846,1.0,False.
42,500000401,acute kidney injury,974166.0,hydrochlorothiazide,hepatorenal failure,10019845,1.0,False.
43,500000401,acute kidney injury,974166.0,hydrochlorothiazide,crush syndrome,10050702,1.0,False.
44,500000401,acute kidney injury,1177480.0,ibuprofen,postrenal failure,10059345,1.0,True
45,500000401,acute kidney injury,1177480.0,ibuprofen,hepatorenal syndrome,10019846,1.0,False.
46,500000401,acute kidney injury,1177480.0,ibuprofen,hepatorenal failure,10019845,1.0,True
47,500000401,acute kidney injury,1177480.0,ibuprofen,crush syndrome,10050702,1.0,False.
48,500000401,acute kidney injury,1185922.0,ketoprofen,postrenal failure,10059345,1.0,False.
49,500000401,acute kidney injury,1185922.0,ketoprofen,hepatorenal syndrome,10019846,1.0,False.
50,500000401,acute kidney injury,1185922.0,ketoprofen,hepatorenal failure,10019845,1.0,True
51,500000401,acute kidney injury,1185922.0,ketoprofen,crush syndrome,10050702,1.0,False.
52,500000401,acute kidney injury,1136980.0,ketorolac,postrenal failure,10059345,1.0,False.
53,500000401,acute kidney injury,1136980.0,ketorolac,hepatorenal syndrome,10019846,1.0,False.
54,500000401,acute kidney injury,1136980.0,ketorolac,hepatorenal failure,10019845,1.0,True.
55,500000401,acute kidney injury,1136980.0,ketorolac,crush syndrome,10050702,1.0,False.
56,500000401,acute kidney injury,1308216.0,lisinopril,postrenal failure,10059345,1.0,False.
57,500000401,acute kidney injury,1308216.0,lisinopril,hepatorenal syndrome,10019846,1.0,False.
58,500000401,acute kidney injury,1308216.0,lisinopril,hepatorenal failure,10019845,1.0,True
59,500000401,acute kidney injury,1308216.0,lisinopril,crush syndrome,10050702,1.0,False.
60,500000401,acute kidney injury,1197736.0,mefenamate,postrenal failure,10059345,1.0,False.
61,500000401,acute kidney injury,1197736.0,mefenamate,hepatorenal syndrome,10019846,1.0,False.
62,500000401,acute kidney injury,1197736.0,mefenamate,hepatorenal failure,10019845,1.0,False.
63,500000401,acute kidney injury,1197736.0,mefenamate,crush syndrome,10050702,1.0,False.
64,500000401,acute kidney injury,1115008.0,naproxen,postrenal failure,10059345,1.0,False.
65,500000401,acute kidney injury,1115008.0,naproxen,hepatorenal syndrome,10019846,1.0,False.
66,500000401,acute kidney injury,1115008.0,naproxen,hepatorenal failure,10019845,1.0,True
67,500000401,acute kidney injury,1115008.0,naproxen,crush syndrome,10050702,1.0,False.
68,500000401,acute kidney injury,1312742.0,olmesartan medoxomil,postrenal failure,10059345,1.0,False.
