,drug_name,adr_name,gpt_output
0,metolazone,Abdominal discomfort,"True. Abdominal discomfort can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. As with many medications, it can have a range of side effects, and gastrointestinal symptoms like abdominal discomfort are possible. If someone experiences this or any other concerning side effects while taking metolazone, they should consult their healthcare provider."
1,metolazone,Abdominal distension,"Abdominal distension is not commonly listed as a direct side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention caused by heart failure or kidney disease. The more common side effects of metolazone include electrolyte imbalance, dehydration, low blood pressure, dizziness, headache, and gastrointestinal issues such as nausea or diarrhea.

However, it's important to note that while abdominal distension might not be a direct side effect, gastrointestinal issues can sometimes lead to a feeling of bloating or distension. If a patient experiences severe or unusual symptoms, they should consult their healthcare provider.

Therefore, the statement ""Abdominal distension is a side effect of metolazone"" is generally false, but if a patient experiences such a symptom, it could be related to other gastrointestinal side effects or an unrelated medical condition."
2,metolazone,Abdominal pain,"True. Abdominal pain can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. As with any medication, it can cause a range of side effects, and abdominal pain is one of the possible gastrointestinal side effects that some patients may experience. If someone taking metolazone experiences severe abdominal pain, they should contact their healthcare provider, as it may indicate a more serious condition or an adverse reaction to the medication."
3,metolazone,Agranulocytosis,"Agranulocytosis is a rare but serious side effect of many medications, including some diuretics. Metolazone is a thiazide-like diuretic used to treat high blood pressure and edema. While agranulocytosis is not commonly associated with thiazide diuretics, it has been reported as a potential side effect in very rare cases. Therefore, the statement can be considered true, but with the understanding that the occurrence of agranulocytosis as a side effect of metolazone is extremely rare. It is important for healthcare providers to monitor blood counts in patients on such medications and for patients to be aware of the symptoms of agranulocytosis, such as fever, sore throat, and other signs of infection."
4,metolazone,Alkalosis hypochloraemic,"True. Hypochloremic alkalosis is a potential side effect of metolazone, which is a thiazide-like diuretic medication used to treat high blood pressure and fluid retention (edema). Metolazone can cause an electrolyte imbalance by increasing the excretion of sodium, chloride, and water through the kidneys, while conserving potassium. When the body loses too much chloride, this can lead to a state of alkalosis, where the blood becomes too alkaline."
5,metolazone,Anaemia,"True. Anaemia can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Metolazone can affect the bone marrow's ability to produce red blood cells, which can lead to anemia in some patients. However, it's important to note that not all patients taking metolazone will experience anemia, and the occurrence of this side effect may depend on individual patient factors and dosages. If a patient taking metolazone experiences symptoms of anemia, such as fatigue, weakness, or pale skin, they should consult their healthcare provider."
6,metolazone,Anaphylactic reaction,"Anaphylactic reaction is a rare but possible side effect of many medications, including diuretics like metolazone. While it is not common, it is important for patients to be aware of the potential for a severe allergic reaction like anaphylaxis when taking any new medication. Therefore, the statement can be considered true, but with the understanding that anaphylactic reactions to metolazone are not typical and occur infrequently. Patients should consult with their healthcare provider for personalized medical advice and information about the risks associated with their medications."
7,metolazone,Arthralgia,"Arthralgia, which is joint pain, can indeed be a side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Like many medications, it can have side effects, and joint pain is one of the possible adverse reactions listed for this drug. Therefore, the statement is true. However, it's important to note that not everyone will experience this side effect, and the severity can vary among individuals. Always consult with a healthcare provider for medical advice and information about potential side effects of medications."
8,metolazone,Asthenia,"Asthenia, which refers to weakness or lack of energy and strength, can indeed be a side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. As with many medications, it can have a range of side effects, and asthenia is one of them, although it may not be very common. Patients taking metolazone who experience significant weakness or fatigue should consult their healthcare provider. 

Therefore, the statement is true."
9,metolazone,Chills,"True. Chills can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. As with any medication, it can cause a range of side effects, and chills may occur, although they are less common. If someone experiences chills or other side effects while taking metolazone, they should consult their healthcare provider."
10,metolazone,Constipation,"True. Constipation can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. Diuretics can lead to dehydration, which in turn can cause constipation. However, not everyone will experience this side effect, and there are other more common side effects associated with metolazone. Always consult with a healthcare provider for medical advice and information about potential side effects of medications."
11,metolazone,Cough,"Cough is not typically listed as a common side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Common side effects of metolazone include electrolyte imbalance, low blood pressure, dizziness, headache, and gastrointestinal issues.

However, it is possible for an individual to experience a cough or other atypical side effects from any medication due to individual sensitivities, allergic reactions, or rare side effects. If a person taking metolazone experiences a cough, they should consult their healthcare provider to determine if the medication is the cause or if there is another underlying issue.

Therefore, the statement ""Cough is a side effect of metolazone"" is generally false, but there could be exceptional cases where it might be true for a specific individual."
12,metolazone,Cutaneous vasculitis,"Cutaneous vasculitis can indeed be a side effect of metolazone, although it is considered a rare side effect. Metolazone is a diuretic medication used to treat high blood pressure and edema (swelling) associated with heart failure or renal disease. As with any medication, it can have a range of side effects, and while cutaneous vasculitis is not one of the most common side effects, it has been reported in association with metolazone use.

Therefore, the statement is true, but it is important to note that the occurrence of this side effect is uncommon. Patients concerned about side effects of any medication should consult with their healthcare provider."
13,metolazone,Depression,"Metolazone is a medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Depression is not commonly listed as a side effect of metolazone. However, side effects can vary from person to person, and it is possible for an individual to experience depression as a side effect of any medication, including metolazone, even if it is not commonly recognized as such.

If a patient taking metolazone experiences symptoms of depression, they should consult their healthcare provider for an evaluation, as it could be related to the medication or to other factors. It is important to review the official medication guide or consult with a healthcare professional for the most accurate and personalized information regarding side effects."
14,metolazone,Dermatitis,"True. Dermatitis can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. As with many medications, metolazone can cause a range of side effects, and skin reactions such as dermatitis are possible, although not necessarily common. Patients should report any unusual skin conditions to their healthcare provider."
15,metolazone,Diarrhoea,"True. Diarrhea is a potential side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. As with many medications, it can cause a range of side effects, and gastrointestinal issues such as diarrhea are among them. Patients should consult their healthcare provider if they experience severe or persistent side effects while taking metolazone."
16,metolazone,Dizziness,"True. Dizziness is a possible side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. Patients taking metolazone should be aware of this potential side effect and take precautions, especially when standing up from a sitting or lying position, to prevent falls or injuries. If dizziness becomes severe or persistent, it is important to consult a healthcare provider."
17,metolazone,Dry mouth,"True. Dry mouth can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. Diuretics increase the excretion of water from the body, which can lead to dehydration and symptoms such as dry mouth. It's important for patients taking diuretics like metolazone to stay hydrated and discuss any bothersome side effects with their healthcare provider."
18,metolazone,Dry skin,"True. Metolazone is a diuretic medication often used to treat high blood pressure and fluid retention. One of the side effects of diuretics like metolazone can be dry skin, as they increase the excretion of water from the body, which can lead to dehydration and subsequently dry skin. However, it's important to note that individual reactions to medication can vary, and not everyone will experience this side effect. Always consult with a healthcare provider for medical advice and information about potential side effects of medications."
19,metolazone,Epistaxis,"True. Epistaxis, which is the medical term for nosebleeds, can be a side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention. Like many medications, it can have a range of side effects, and while epistaxis is not one of the most common side effects, it can occur in some individuals. If someone experiences a nosebleed while taking metolazone, they should consult their healthcare provider to determine if the medication is the cause and whether they need to adjust their treatment."
20,metolazone,Fatigue,"True. Fatigue can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. As with many medications, it can have a range of side effects, and fatigue is one of them. Patients taking metolazone may experience various side effects, and if they experience significant fatigue, they should consult their healthcare provider."
21,metolazone,Glycosuria,"Glycosuria, which is the excretion of glucose into the urine, is not a typical side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and edema (swelling) associated with heart failure or renal dysfunction. Common side effects of metolazone include electrolyte imbalance, dehydration, and hypotension, but not glycosuria.

However, it is important to note that diuretics like metolazone can affect blood glucose levels, and in some cases, if a patient has diabetes or is at risk for diabetes, changes in blood glucose control could potentially lead to glycosuria. But this would be an indirect effect and not a typical side effect of the medication itself.

Therefore, the statement ""Glycosuria is a side effect of metolazone"" is generally false. If a patient taking metolazone experiences glycosuria, it is likely due to another underlying condition or factor, and they should consult their healthcare provider."
22,metolazone,Gout,"Gout is not a side effect of metolazone per se, but it can be an indirect consequence of its use. Metolazone is a thiazide-like diuretic used to treat high blood pressure and edema (fluid retention) associated with congestive heart failure or kidney disease. One of the effects of diuretics like metolazone is that they can increase uric acid levels in the blood. Elevated uric acid levels can lead to gout, a form of arthritis characterized by sudden, severe attacks of pain, redness, and tenderness in joints.

Therefore, while gout is not a direct side effect of metolazone, the medication can lead to conditions that increase the risk of developing gout. If a patient taking metolazone experiences symptoms of gout, they should consult their healthcare provider."
23,metolazone,Haemoconcentration,"Haemoconcentration can occur as a side effect of diuretics, including metolazone. Diuretics are medications that promote the excretion of water and salts in the urine. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention (edema) caused by various conditions, including heart failure.

When diuretics like metolazone cause the body to lose too much water and salts, the blood can become more concentrated, leading to haemoconcentration. This means that the relative content of cells and proteins in the blood is higher because there is less plasma volume. Haemoconcentration can increase the risk of thrombosis and other complications if not monitored and managed appropriately.

Therefore, the statement that haemoconcentration is a side effect of metolazone is true. However, it is important to note that while it is a potential side effect, it does not occur in all patients and depends on various factors, including the dose and the patient's overall health status."
24,metolazone,Headache,"True. Headache can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. As with many medications, it can have a range of side effects, and headache is one of the possible adverse reactions listed. However, it's important to note that not everyone will experience this side effect, and if they do, the severity can vary. If someone is experiencing headaches after starting metolazone, they should consult with their healthcare provider."
25,metolazone,Hypercalcaemia,"True. Hypercalcemia, which is an abnormally high level of calcium in the blood, can be a side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Thiazide and thiazide-like diuretics can decrease the excretion of calcium in the urine, leading to an increase in blood calcium levels. Therefore, patients on metolazone should have their electrolytes and kidney function monitored, especially if they are at risk for electrolyte imbalances."
26,metolazone,Hyperglycaemia,"True. Hyperglycemia, which is an abnormally high blood glucose level, can be a side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Diuretics like metolazone can affect glucose tolerance and may lead to changes in blood sugar levels. Patients with diabetes or those at risk for diabetes should be monitored closely if they are prescribed metolazone."
27,metolazone,Hyperuricaemia,"True. Hyperuricaemia, which is an abnormally high level of uric acid in the blood, can be a side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention. Diuretics like metolazone can lead to increased uric acid levels by reducing the kidney's ability to excrete uric acid, which can potentially precipitate gout in susceptible individuals."
28,metolazone,Hypochloraemia,"True. Hypochloraemia, which is an electrolyte disturbance characterized by a low level of chloride in the blood, can be a side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention (edema) that works by causing the kidneys to get rid of unneeded water and salt from the body into the urine. Diuretics like metolazone can lead to an imbalance of electrolytes, including sodium, potassium, and chloride."
29,metolazone,Hypokalaemia,"True. Hypokalaemia, which is a lower than normal level of potassium in the bloodstream, is a known side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Diuretics like metolazone can increase the excretion of potassium in the urine, potentially leading to hypokalaemia if potassium levels are not monitored and managed."
30,metolazone,Hypomagnesaemia,"True. Hypomagnesemia, which is a lower than normal level of magnesium in the blood, can be a side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. Diuretics like metolazone can increase the excretion of electrolytes, including magnesium, from the body, which can lead to hypomagnesemia."
31,metolazone,Hyponatraemia,"True. Hyponatraemia, which is a low concentration of sodium in the blood, can be a side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and fluid retention (edema) that can cause electrolyte imbalances, including low sodium levels. Patients taking metolazone should have their electrolytes monitored to prevent complications like hyponatraemia."
32,metolazone,Hypophosphataemia,"True. Hypophosphatemia, which is an abnormally low level of phosphate in the blood, can be a side effect of metolazone. Metolazone is a thiazide-like diuretic used to treat high blood pressure and edema (swelling) from heart failure or kidney disease. Diuretics increase the excretion of water and salts from the body, which can lead to an imbalance of electrolytes, including phosphates. Therefore, hypophosphatemia can occur as a result of the increased excretion of phosphate through the urine when taking metolazone."
33,metolazone,Hypovolaemia,"Hypovolemia, which is an abnormally low volume of blood circulating in the body, can indeed be a side effect of metolazone. Metolazone is a diuretic medication that increases urine output to help reduce fluid retention in conditions such as heart failure, renal failure, or edema. By promoting the excretion of water and electrolytes, diuretics like metolazone can potentially lead to a decrease in blood volume, which is hypovolemia. Therefore, the statement is true. However, it's important to note that while I can provide this information based on my knowledge as of my last update, any medical concerns or questions about side effects should be directed to a healthcare professional."
34,metolazone,Insomnia,"Metolazone is a thiazide-like diuretic used to treat high blood pressure and edema in patients with heart failure or renal dysfunction. Common side effects of metolazone include electrolyte imbalance, hypotension, dizziness, and gastrointestinal issues. While insomnia is not a typical side effect of metolazone, it is possible that some patients may experience sleep disturbances as a side effect. However, it is not listed as one of the primary side effects of the medication. If a patient is experiencing insomnia while taking metolazone, they should consult their healthcare provider as it may be due to other factors or an uncommon reaction to the drug. 

Please note that my response is based on general information about metolazone and its side effects, and individual experiences may vary. Always consult a healthcare professional for medical advice tailored to your personal health situation."
35,metolazone,Lethargy,"True. Lethargy can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. As with many medications, it can have a range of side effects, and lethargy or fatigue is one of them. Patients taking metolazone should monitor their response to the medication and report any concerning side effects to their healthcare provider."
36,metolazone,Leukopenia,"Leukopenia, which is a decrease in the number of white blood cells, can indeed be a side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention. Like many medications, it can have a range of side effects, and leukopenia is one of the less common ones. Therefore, the statement is true. However, it is important to note that side effects can vary from person to person, and not everyone will experience them. Always consult with a healthcare provider for medical advice and information about potential side effects of medications."
37,metolazone,Malaise,"True. Malaise, which is a general feeling of discomfort, illness, or uneasiness, can be a side effect of metolazone. Metolazone is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. As with many medications, it can have a range of side effects, and malaise is one of the potential non-specific side effects that some patients may experience. It's important for patients to consult with their healthcare provider if they experience any concerning symptoms while taking metolazone or any other medication."
38,metolazone,Muscle spasms,"True. Muscle spasms can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention. As with many diuretics, metolazone can cause an imbalance of electrolytes such as potassium, sodium, and magnesium in the body, which can lead to muscle spasms or cramps. It is important for patients taking metolazone to have their electrolyte levels monitored and to follow their healthcare provider's instructions to minimize the risk of side effects."
39,metolazone,Nausea,"True. Nausea can be a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention due to various conditions, including heart failure. As with many medications, it can have multiple side effects, and nausea is one of the potential gastrointestinal side effects listed. However, it's important to note that not everyone will experience this side effect, and a healthcare provider should be consulted for a complete list of potential side effects and for guidance specific to an individual's health situation."
40,metolazone,Nervousness,"Nervousness is not commonly listed as a side effect of metolazone, which is a diuretic medication used to treat high blood pressure and fluid retention caused by various conditions, including heart failure. The more common side effects of metolazone include electrolyte imbalance, dehydration, low blood pressure, dizziness, and gastrointestinal issues. However, as with any medication, individual reactions can vary, and it's possible for someone to experience nervousness among other less common side effects. It's important for patients to consult with their healthcare provider for a complete list of potential side effects and to discuss any new or unusual symptoms they experience while taking metolazone or any other medication."
