run,meddra_term,meddra_pt_id,AKI,ALI,AMI,GIB
0,Abdominal discomfort,10000059,0,0,0,0
0,Abdominal distension,10000060,0,0,0,0
0,Abdominal pain,10000081,0,0,0,0
0,Agranulocytosis,10001507,0,0,0,0
0,Alkalosis hypochloraemic,10001682,0,0,0,0
0,Anaemia,10002034,0,0,0,0
0,Anaphylactic reaction,10002198,0,0,0,0
0,Arthralgia,10003239,0,0,0,0
0,Asthenia,10003549,0,0,0,0
0,Chills,10008531,0,0,0,0
0,Constipation,10010774,0,0,0,0
0,Cough,10011224,0,0,0,0
0,Cutaneous vasculitis,10011686,0,0,0,0
0,Depression,10012378,0,0,0,0
0,Dermatitis,10012431,0,0,0,0
0,Diarrhoea,10012735,0,0,0,0
0,Dizziness,10013573,0,0,0,0
0,Dry mouth,10013781,0,0,0,0
0,Dry skin,10013786,0,0,0,0
0,Epistaxis,10015090,0,0,0,0
0,Fatigue,10016256,0,0,0,0
0,Glycosuria,10018473,0,0,0,0
0,Gout,10018627,0,0,0,0
0,Haemoconcentration,10018873,0,0,0,0
0,Headache,10019211,0,0,0,0
0,Hypercalcaemia,10020583,0,0,0,0
0,Hyperglycaemia,10020635,0,0,0,0
0,Hyperuricaemia,10020903,0,0,0,0
0,Hypochloraemia,10020955,0,0,0,0
0,Hypokalaemia,10021015,0,0,0,0
0,Hypomagnesaemia,10021027,0,0,0,0
0,Hyponatraemia,10021036,0,0,0,0
0,Hypophosphataemia,10021058,0,0,0,0
0,Hypovolaemia,10021137,0,0,0,0
0,Insomnia,10022437,0,0,0,0
0,Lethargy,10024264,0,0,0,0
0,Leukopenia,10024384,0,0,0,0
0,Malaise,10025482,0,0,0,0
0,Muscle spasms,10028334,0,0,0,0
0,Nausea,10028813,0,0,0,0
0,Nervousness,10029216,0,0,0,0
0,Neuropathy peripheral,10029331,0,0,0,0
0,Oedema,10030095,0,0,0,0
0,Orthostatic hypotension,10031127,0,0,0,0
0,Palpitations,10033557,0,0,0,0
0,Pancreatitis,10033645,0,0,0,0
0,Paraesthesia,10033775,0,0,0,0
0,Peripheral coldness,10034568,0,0,0,0
0,Petechiae,10034754,0,0,0,0
0,Photosensitivity reaction,10034972,0,0,0,0
0,Pneumonitis,10035742,0,0,0,0
0,Pruritus,10037087,0,0,0,0
0,Purpura,10037549,0,0,0,0
0,Rash,10037844,0,0,0,0
0,Respiratory distress,10038687,0,0,0,0
0,Restlessness,10038743,0,0,0,0
0,Sialoadenitis,10040628,0,0,0,0
0,Sinus congestion,10040742,0,0,0,0
0,Skin necrosis,10040893,0,0,0,0
0,Somnolence,10041349,0,0,0,0
0,Stevens-Johnson syndrome,10042033,0,0,0,0
0,Thrombocytopenia,10043554,0,0,0,0
0,Tinnitus,10043882,0,0,0,0
0,Toxic epidermal necrolysis,10044223,0,0,0,0
0,Urticaria,10046735,0,0,0,0
0,Venous thrombosis,10047249,0,0,0,0
0,Vision blurred,10047513,0,0,0,0
0,Vomiting,10047700,0,0,0,0
0,Xanthopsia,10048216,0,0,0,0
0,Eye pruritus,10052140,0,0,0,0
0,Decreased appetite,10061428,0,0,0,0
0,Erectile dysfunction,10061461,0,0,0,0
0,Oropharyngeal pain,10068319,0,0,0,0
0,Aplastic anaemia,10002967,0,0,0,0
0,Asphyxia,10003497,0,0,0,0
0,Back pain,10003988,0,0,0,0
0,Cardiac failure,10007554,0,0,0,0
0,Confusional state,10010305,0,0,0,0
0,Crystalluria,10011509,0,0,0,0
0,Diplopia,10013036,0,0,0,0
0,Drooling,10013642,0,0,0,0
0,Dysphagia,10013950,0,0,0,0
0,Gastrointestinal haemorrhage,10017955,0,0,0,1
0,Haematuria,10018867,0,0,0,0
0,Hair growth abnormal,10019044,0,0,0,0
0,Hepatitis,10019717,0,1,0,0
0,Hyperhidrosis,10020642,0,0,0,0
0,Hypersensitivity,10020751,0,0,0,0
0,Intestinal obstruction,10022687,0,0,0,0
0,Myalgia,10028411,0,0,0,0
0,Nocturia,10029446,0,0,0,0
0,Pericarditis,10034484,0,0,0,0
0,Phlebitis,10034879,0,0,0,0
0,Pleural effusion,10035598,0,0,0,0
0,Pollakiuria,10036018,0,0,0,0
0,Pyrexia,10037660,0,0,0,0
0,Respiratory depression,10038678,0,0,0,0
0,Seizure,10039906,0,0,0,0
0,Tachycardia,10043071,0,0,0,0
0,Urinary incontinence,10046543,0,0,0,0
0,Urinary retention,10046555,0,0,0,0
0,Visual impairment,10047571,0,0,0,0
0,Lymphocytic lymphoma,10052178,0,0,0,0
0,Epigastric discomfort,10053155,0,0,0,0
0,Haemorrhage,10055798,0,0,0,0
0,Extravasation,10015866,0,0,0,0
0,Hypervolaemia,10020919,0,0,0,0
0,Infection,10021789,0,0,0,0
0,Death,10011906,0,0,0,0
0,Pulmonary oedema,10037423,0,0,0,0
0,Renal failure,10038435,0,0,0,0
0,Thrombophlebitis,10043570,0,0,0,0
0,Arrhythmia,10003119,0,0,0,0
0,Bradycardia,10006093,0,0,0,0
0,Dysarthria,10013887,0,0,0,0
0,Dysphonia,10013952,0,0,0,0
0,Extrasystoles,10015856,0,0,0,0
0,Hypotension,10021097,0,0,0,0
0,Lacrimation increased,10023644,0,0,0,0
0,Laryngospasm,10023891,0,0,0,0
0,Muscle contractions involuntary,10028293,0,0,0,0
0,Mydriasis,10028521,0,0,0,0
0,Nodal rhythm,10029470,0,0,0,0
0,Photophobia,10034960,0,0,0,0
0,Thirst,10043458,0,0,0,0
0,Electrocardiogram P wave abnormal,10050384,0,0,0,0
0,Conjunctival hyperaemia,10051625,0,0,0,0
0,Angioedema,10002424,0,0,0,0
0,Anxiety,10002855,0,0,0,0
0,Chest pain,10008479,0,0,0,0
0,Dyspepsia,10013946,0,0,0,0
0,Dyspnoea,10013968,0,0,0,0
0,Dysuria,10013990,0,0,0,0
0,Erythema,10015150,0,0,0,0
0,Flatulence,10016766,0,0,0,0
0,Flushing,10016825,0,0,0,0
0,Glossitis,10018386,0,0,0,0
0,Hallucination,10019063,0,0,0,0
0,Hypoaesthesia,10020937,0,0,0,0
0,Irritability,10022998,0,0,0,0
0,Migraine,10027599,0,0,0,0
0,Neutropenia,10029354,0,0,0,0
0,Oesophageal spasm,10030184,0,0,0,0
0,Pancytopenia,10033661,0,0,0,0
0,Pharyngitis,10034835,0,0,0,0
0,Polycythaemia,10036051,0,0,0,0
0,Stomatitis,10042128,0,0,0,0
0,Systemic lupus erythematosus,10042945,0,0,0,0
0,Ventricular extrasystoles,10047289,0,0,0,0
0,Musculoskeletal stiffness,10052904,0,0,0,0
0,Psychotic disorder,10061920,0,0,0,0
0,Atrioventricular block,10003671,0,0,0,0
0,Cardiac arrest,10007515,0,0,0,0
0,Respiratory failure,10038695,0,0,0,0
0,Vertigo,10047340,0,0,0,0
0,Muscle fatigue,10049565,0,0,0,0
0,Trendelenburg position,10067496,0,0,0,0
0,Cataract subcapsular,10007764,0,0,0,0
0,Conjunctivitis,10010741,0,0,0,0
0,Eyelid ptosis,10015995,0,0,0,0
0,Glaucoma,10018304,0,0,0,0
0,Hyperadrenocorticism,10020564,0,0,0,0
0,Iridocyclitis,10022941,0,0,0,0
0,Keratitis,10023332,0,0,0,0
0,Optic nerve injury,10030938,0,0,0,0
0,Viral infection,10047461,0,1,0,0
0,Ulcerative keratitis,10064996,0,0,0,0
0,Foreign body,10070245,0,0,0,0
0,Abnormal dreams,10000125,0,0,0,0
0,Anaphylactoid reaction,10002216,0,0,0,0
0,Asthma,10003553,0,0,0,0
0,Azotaemia,10003885,0,0,0,0
0,Bronchospasm,10006482,0,0,0,0
0,Deafness,10011878,0,0,0,0
0,Dermatitis exfoliative,10012455,0,0,0,0
0,Eructation,10015137,0,0,0,0
0,Euphoric mood,10015535,0,0,0,0
0,Extrapyramidal disorder,10015832,0,0,0,0
0,Flank pain,10016750,0,0,0,0
0,Gastritis,10017853,0,0,0,0
0,Gastrointestinal pain,10017999,0,0,0,0
0,Gastrointestinal perforation,10018001,0,0,0,0
0,Haemolytic uraemic syndrome,10018932,1,0,0,0
0,Hepatic failure,10019663,0,0,0,0
0,Hyperkalaemia,10020646,0,0,0,0
